artist,song
Ed Sheeran,Galway Girl
Nico & Vinz,Am I Wrong
Post Malone,Hollywood's Bleeding
Trey Songz,Slow Motion
SilentÃ³,Watch Me (Whip / Nae Nae)
21 Savage,Ghostface Killers
Twenty One Pilots,Tear in My Heart
Imagine Dragons,Radioactive
Rod Wave,Heart On Ice
BeyoncÃ©,BREAK MY SOUL
The Kid LAROI,SO DONE
Nat King Cole,Joy To The World
Eminem,River
Hailee Steinfeld,Most Girls
Olivia Rodrigo,enough for you
Brent Faiyaz,Clouded
Cardi B,Please Me
Vundabar,Alien Blues
Logic,Everybody
Fifth Harmony,All In My Head (Flex)
Taylor Swift,...Ready For It?
The Weeknd,After Hours
Miley Cyrus,Malibu
Taylor Swift,Vigilante Shit
Metro Boomin,Too Many Nights
GoldLink,Crew
R. City,Locked Away
Rae Sremmurd,This Could Be Us
Dennis Lloyd,Nevermind
Eminem,The Real Slim Shady
Fuerza Regida,Bebe Dame
Childish Gambino,3005
Lil Baby,The Bigger Picture
Sam Smith,I'm Not The Only One
Ariana Grande,Love Me Harder
Rae Sremmurd,Come Get Her
6ix9ine,GOOBA
Pop Smoke,Got It On Me
Alec Benjamin,Let Me Down Slowly
Harry Styles,Golden
Shawn Mendes,In My Blood
Harry Styles,Music For a Sushi Restaurant
Harry Styles,Sign of the Times
Marshmello,Leave Before You Love Me
Lil Tjay,Headshot
Queen,Don't Stop Me Now
Post Malone,Cooped Up
Meek Mill,All Eyes on You
Tainy,Lo Siento BB:/
Hailee Steinfeld,Love Myself
Social House,Magic In The Hamptons
Roddy Ricch,Start Wit Me
Lil Wayne,Mona Lisa
The Weeknd,In The Night
NLE Choppa,Shotta Flow
Charlie Puth,How Long
Lil Wayne,Uproar
Kanye West,Waves
Shawn Mendes,I Know What You Did Last Summer
6ix9ine,KIKA
Tate McRae,she's all i wanna be
Tove Lo,Talking Body
ERNEST,Flower Shops
AminÃ©,REEL IT IN
Post Malone,Motley Crew
Daddy Yankee,Con Calma
Lil Baby,Close Friends (Lil Baby & Gunna)
Katy Perry,Never Really Over
Saweetie,My Type
Future,Wicked
DaBaby,Baby Sitter
Milky Chance,Stolen Dance
Alan Walker,Faded
DDG,Moonwalking in Calabasas
Grupo Frontera,No Se Va
Megan Thee Stallion,Sweetest Pie
Topic,Breaking Me
Mike Perry,The Ocean
Stephen Sanchez,Until I Found You
Young Stoner Life,Solid
NAV,Myself
Metro Boomin,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage]
Coldplay,My Universe
Ariana Grande,pov
Taylor Swift,august
Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53"
Lorde,Team
DJ Khaled,GREECE
Taylor Swift,Cruel Summer
Bebe Rexha,I'm a Mess
YoungBoy Never Broke Again,Outside Today
Pitbull,Timber
J. Cole,She Knows
Drake,Signs
Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52"
Ariana Grande,NASA
Billie Eilish,all the good girls go to hell
The Chainsmokers,Call You Mine
Tory Lanez,Say It
Lil Nas X,Rodeo
Drake,On BS
Megan Thee Stallion,Girls in the Hood
Tee Grizzley,From The D To The A
X Ambassadors,Renegades
Jack Harlow,Nail Tech
Juice WRLD,Life's A Mess
Coldplay,A Sky Full of Stars
Maroon 5,Wait
Drake,10 Bands
Drake,Major Distribution
Drake,Right Hand
Megan Thee Stallion,Cry Baby
benny blanco,Roses
Paul McCartney,Wonderful Christmastime
Lil Tecca,Love Me
Dua Lipa,We're Good
6ix9ine,GUMMO
Bad Bunny,Yo Perreo Sola
Cheat Codes,Sex
Taylor Swift,the 1
Beach Weather,"Sex, Drugs, Etc."
O.T. Genasis,Cut It
Taylor Swift,Question...?
TOKYOâS REVENGE,GOODMORNINGTOKYO!
YFN Lucci,Everyday We Lit
Trippie Redd,1400 / 999 Freestyle
Imagine Dragons,Enemy
G-Eazy,Some Kind Of Drug
Sia,Elastic Heart
Imagine Dragons,Radioactive
The Weeknd,Take My Breath
Harry Styles,Daylight
Galantis,No Money
The Chainsmokers,Who Do You Love
Jason Derulo,Trumpets
Tom Odell,Another Love
Logic,Keanu Reeves
Echosmith,Cool Kids
Frank Sinatra,Mistletoe And Holly
Migos,Get Right Witcha
Charlie Puth,Left and Right (Feat. Jung Kook of BTS)
Nicki Minaj,Truffle Butter
Tai Verdes,A-O-K
Bad Bunny,Safaera
Lauren Spencer Smith,Fingers Crossed
Tyler Hubbard,5 Foot 9
Billie Eilish,TV
Shawn Mendes,Wonder
Pitbull,Time of Our Lives
"Tyler, The Creator",WUSYANAME
Metro Boomin,No Complaints
Post Malone,Over Now
Post Malone,92 Explorer
Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane)
Em Beihold,Numb Little Bug
Eminem,Rap God
Halsey,New Americana
Sam Smith,Too Good At Goodbyes
MÃ,Final Song
Megan Thee Stallion,Hot Girl Summer
Mac DeMarco,Heart To Heart
Calvin Harris,My Way
Travis Scott,Watch
Twenty One Pilots,Car Radio
Maren Morris,The Bones
Olivia Rodrigo,"1 step forward, 3 steps back"
Billie Eilish,my strange addiction
Kendrick Lamar,Die Hard
Maroon 5,Cold
Stephanie Beatriz,The Family Madrigal
Katy Perry,Roar
Martin Garrix,Summer Days
Luke Combs,Better Together
Burl Ives,Rudolph The Red-Nosed Reindeer
Kanye West,Moon
Calvin Harris,Blame
Ruth B.,Lost Boy
T-Wayne,Nasty Freestyle
Miley Cyrus,Midnight Sky
Iggy Azalea,Black Widow
Jonas Brothers,Only Human
One Direction,Perfect
Yo Gotti,Down In the DM
Justin Timberlake,Say Something
Meghan Trainor,NO
XXXTENTACION,NUMB
Selena Gomez,Kill Em With Kindness
Cody Johnson,'Til You Can't
Clean Bandit,Solo
Nicky Jam,X
Tory Lanez,Broke In A Minute
Mr.Kitty,After Dark
Anuel AA,China
Clean Bandit,Symphony
Ashnikko,Daisy
Trippie Redd,Dark Knight Dummo (Feat. Travis Scott)
Yeat,Out thÃ« way
Zay Hilfigerrr,Juju On That Beat (TZ Anthem)
Bad Bunny,Yo No Soy Celoso
Florida Georgia Line,Simple
Justin Bieber,Friends
John Lennon,Happy Xmas (War Is Over)
Ariana Grande,needy
Coi Leray,Players
Shawn Mendes,Monster (Shawn Mendes & Justin Bieber)
Joy Again,Looking Out for You
Khalid,Talk
Demi Lovato,Tell Me You Love Me
Chance the Rapper,Juke Jam
Duncan Laurence,Arcade
Dante Klein,Let Me Hold You (Turn Me On)
Rod Wave,Rags2Riches
Miley Cyrus,Prisoner
Lil Baby,Life Goes On
Charlie Puth,One Call Away
Justin Bieber,I'll Show You
Justin Bieber,Company
OneRepublic,Wherever I Go
Offset,Clout
NAV,Champion
Ed Sheeran,Cross Me
Selena Gomez,Fetish
Logic,44 More
Kendrick Lamar,PRIDE.
Jeremih,Planes
Taylor Swift,Mastermind
Wiz Khalifa,Hopeless Romantic
Jason Derulo,Talk Dirty
Nelly,Lil Bit
Bruno Mars,When I Was Your Man
Post Malone,On The Road
Big Sean,Blessings
Louis Tomlinson,Back to You
Martin Garrix,Ocean
Drake,Hype
Zac Efron,Rewrite The Stars
Vince Guaraldi Trio,Christmas Time Is Here
Post Malone,Die For Me
Adele,Oh My God
BTS,Boy With Luv
The Chainsmokers,Takeaway
David Guetta,Bang My Head
Tove Lo,Habits (Stay High)
Nick Jonas,Jealous
NewJeans,OMG
Trippie Redd,Death
Yellow Claw,In My Room
Ant Saunders,Yellow Hearts
Trippie Redd,Love Scars
24kGoldn,CITY OF ANGELS
Imagine Dragons,Whatever It Takes
Post Malone,Deja Vu
Jack Harlow,Way Out
Doja Cat,Boss Bitch
Macklemore & Ryan Lewis,Downtown
Jeremih,Don't Tell 'Em
Bailey Zimmerman,Fall In Love
girl in red,we fell in love in october
Juice WRLD,Tell Me U Luv Me
The Neighbourhood,Softcore
Sam Smith,Have Yourself A Merry Little Christmas
Sia,Snowman
TV Girl,Lovers Rock
Mac Miller,Good News
John Legend,Love Me Now
Avicii,SOS
ArcÃ¡ngel,La Jumpa
Charlie Puth,Marvin Gaye
Zach Bryan,Heading South
Kygo,Stole the Show
Jidenna,Classic Man
A Boogie Wit da Hoodie,My Shit
Oliver Tree,Life Goes On
The Jackson 5,I Saw Mommy Kissing Santa Claus
Rudimental,Lay It All on Me
Jhay Cortez,No Me Conoce
Post Malone,Zack And Codeine
Lil Pump,Esskeetit
Zara Larsson,Ruin My Life
Billie Eilish,xanny
Vince Guaraldi Trio,O Tannenbaum
Eminem,The Monster
Lil Mosey,Kamikaze
BeyoncÃ©,Drunk in Love
PinkPantheress,Pain
Thomas Rhett,Craving You
Meek Mill,R.I.C.O.
Lil Tecca,Never Left
Jonas Blue,Perfect Strangers
Bruce Springsteen,Santa Claus Is Comin' to Town
David Guetta,Hey Mama
Clean Bandit,I Miss You
Roddy Ricch,Late At Night
Lizzy McAlpine,ceilings
Lil Tjay,Run It Up
Kanye West,Off The Grid
Drake,Champagne Poetry
Dustin Lynch,Small Town Boy
Maggie Lindemann,Pretty Girl
AWOLNATION,Sail
Shawn Mendes,Lost In Japan
Lil Nas X,Panini
Lil Skies,Creeping
*NSYNC,"Merry Christmas, Happy Holidays"
Nicki Minaj,Chun-Li
Usher,I Don't Mind
CORPSE,E-GIRLS ARE RUINING MY LIFE!
Harry Styles,Satellite
PnB Rock,Horses
Kid Cudi,Mr. Rager
Ugly God,Water
DJ Snake,Turn Down for What
Robin Thicke,Blurred Lines
Ed Sheeran,South of the Border
Camila Cabello,Liar
DJ Snake,You Know You Like It
J Balvin,UN DIA (ONE DAY) (Feat. Tainy)
Kendrick Lamar,XXX. FEAT. U2.
Mac Miller,Self Care
Miley Cyrus,Party In The U.S.A.
Blanco Brown,The Git Up
Lil Baby,Emotionally Scarred
DaBaby,PRACTICE
The Weeknd,Six Feet Under
42 Dugg,4 Da Gang
Lunay,Soltera
Rudimental,These Days
Sam Hunt,Leave The Night On
TOTO,Africa
Carin Leon,Que Vuelvas
ScHoolboy Q,X
Offset,Red Room
TiÃ«sto,The Business
SHAED,Trampoline
SZA,Ghost in the Machine
21 Savage,monster
Khalid,Know Your Worth
Panic! At The Disco,"Hey Look Ma, I Made It"
Eminem,The Ringer
Keala Settle,This Is Me
Taylor Swift,Labyrinth
Mabel,Don't Call Me Up
DaBaby,Ball If I Want To
iann dior,Prospect (ft. Lil Baby)
Juice WRLD,Feeling
Katy Perry,Chained To The Rhythm
Nate Smith,Whiskey On You
Rae Sremmurd,Perplexing Pegasus
6LACK,Ex Calling
The Vamps,All Night
Juice WRLD,Already Dead
Young Thug,Wyclef Jean
Pharrell Williams,Cash In Cash Out
Kendrick Lamar,Alright
Rachel Platten,Fight Song
Kygo,Higher Love
Lil Uzi Vert,Lo Mein
Sabrina Carpenter,Nonsense
Money Man,24
Joji,Die For You
Big Sean,Wolves
Natalie La Rose,Somebody
Billie Eilish,my future
Taylor Swift,Sweet Nothing
KAROL G,TQG
Olivia Rodrigo,All I Want
Lil Uzi Vert,Watch This
Judy Garland,Have Yourself A Merry Little Christmas
Kanye West,Follow God
A Boogie Wit da Hoodie,Numbers
Martin Garrix,There for You
Curtis Waters,Stunnin'
James Arthur,Train Wreck
Metro Boomin,Don't Come Out The House
Morgan Wallen,Everything I Love
Jon Pardi,Heartache On The Dance Floor
Future,Used to This
Bing Crosby,Mele Kalikimaka
BoyWithUke,Toxic
A Great Big World,Say Something
Calvin Harris,Promises
Drake,Free Smoke
J. Cole,Kevinâs Heart
TiÃ«sto,The Motto
Khalid,My Bad
Brent Faiyaz,Dead Man Walking
The Carters,APESHIT
Drake,Grammys
Post Malone,Takin' Shots
Avicii,Lonely Together
Oliver Tree,Miss You
Metro Boomin,Trance
6ix9ine,TATI
Axwell /\ Ingrosso,More Than You Know
Drake,Teenage Fever
Coldplay,Adventure of a Lifetime
Doja Cat,Juicy
Becky G,Shower
Gunna,P power
The Weeknd,Sidewalks
Morgan Wallen,I Wrote The Book
Natanael Cano,AMG
Tove Lo,Cool Girl
Chris Brown,Ayo
Kanye West,Pt. 2
Mother Mother,Hayloft
Normani,Motivation
Bella Poarch,Build a Bitch
Ellie Goulding,Burn
Post Malone,Same Bitches
Juice WRLD,Bad Boy
Drake,With You
Anne-Marie,Alarm
Joey Bada$$,Devastated
Ty Dolla $ign,Spicy
Future,Solo
Olivia Rodrigo,hope ur ok
ZAYN,LIKE I WOULD
Meghan Trainor,Lips Are Movin
Rae Sremmurd,Look Alive
Joyner Lucas,Ramen & OJ
Maluma,Felices los 4
Drake,Sticky
Juice WRLD,Fast
6ix9ine,STOOPID
Demi Lovato,Cool for the Summer
King Von,Took Her To The O
Metallica,Master Of Puppets
Diane Guerrero,What Else Can I Do?
ScHoolboy Q,THat Part
Doja Cat,Like That
Juice WRLD,Hear Me Calling
Ed Sheeran,Perfect Duet (Ed Sheeran & BeyoncÃ©)
Bryce Vine,Drew Barrymore
Sam Feldt,Post Malone
Lil Durk,3 Headed Goat
21 Savage,ball w/o you
Future,Drankin N Smokin
Petit Biscuit,Sunset Lover
Bing Crosby,Do You Hear What I Hear?
Black Eyed Peas,RITMO (Bad Boys For Life)
Jeremih,Planez
Drake,Blem
Bebe Rexha,I Got You
Kanye West,Yikes
Donny Hathaway,This Christmas
Calvin Harris,Outside
Idina Menzel,Into the Unknown
Eminem,Without Me
Meek Mill,Sharing Locations
Dan + Shay,Glad You Exist
Paul McCartney,Wonderful Christmastime [Edited Version]
Ariana Grande,bad idea
X Ambassadors,Unsteady
Major Lazer,Run Up
Kygo,Firestone
Mitski,Washing Machine Heart
Nardo Wick,Dah Dah DahDah
Frank Sinatra,Jingle Bells
Taylor Swift,champagne problems
blackbear,do re mi
Fat Joe,All The Way Up
Nicki Minaj,Bed
Blake Shelton,God's Country
Dua Lipa,Physical
Niall Horan,This Town
Marshmello,Project Dreams
Rod Wave,By Your Side
Lil Uzi Vert,That's A Rack
DJ Khaled,STAYING ALIVE
Kungs,This Girl
John Lennon,Happy Xmas (War Is Over)
Bad Bunny,Otro Atardecer
Aventura,VolvÃ­
Matoma,Running Out
Steve Aoki,Just Hold On
Lorde,Green Light
PinkPantheress,Boy's a liar
Internet Money,Blastoff
Juice WRLD,Blood On My Jeans
Rod Wave,Rags2Riches 2
Kodak Black,Patty Cake
GloRilla,Tomorrow 2
Chris Brown,Pills & Automobiles
Jaymes Young,Infinity
Harry Styles,Little Freak
Capital Cities,Safe And Sound
Lil Uzi Vert,Baby Pluto
Dreamville,Costa Rica
J. Cole,ATM
Jonas Blue,Mama
YoungBoy Never Broke Again,Kacey Talk
NAV,Some Way
ZHU,Working For It
Jonas Blue,Rise
Bad Bunny,Un Coco
Bobby Shmurda,Hot N*gga
G-Eazy,1942
DaBaby,FIND MY WAY
Arctic Monkeys,Do I Wanna Know?
Taylor Swift,End Game
Ariana Grande,bloodline
G-Eazy,Calm Down
YoungBoy Never Broke Again,Slime Belief
Melanie Martinez,Play Date
Bad Bunny,Andrea
Martin Jensen,Solo Dance
NAV,Turks
YG,Why You Always Hatin?
Zac Brown Band,Chicken Fried
Lady Gaga,The Cure
Tori Kelly,Hollow
SOB X RBE,Paramedic!
Nebu Kiniza,Gassed Up
Kendrick Lamar,King Kunta
Sia,The Greatest
Lil Baby,Heatin Up
Nelly,The Fix
Tyga,SWISH
Mr. Probz,Waves
Eminem,Till I Collapse
Drake,Emotionless
Kendrick Lamar,YAH.
Jack Harlow,Dua Lipa
Saweetie,Tap In
ILOVEMAKONNEN,Tuesday
SZA,Love Language
Ice Spice,In Ha Mood
Ed Sheeran,Sing
Joel Corry,Head & Heart
Drake,No Friends In The Industry
Miley Cyrus,Wrecking Ball
Billie Eilish,Your Power
Bazzi,Beautiful
Demi Lovato,Body Say
Kevin Gates,Big Gangsta
Post Malone,No Option
Andy Grammer,Fresh Eyes
2 Chainz,Bigger Than You
Jason Derulo,If It Ain't Love
Idina Menzel,Let It Go
Trippie Redd,6 Kiss
Ãengo Flow,Gato de Noche
Comethazine,Walk
2 Chainz,Good Drank
Morgan Wallen,Don't Think Jesus
Taylor Swift,"Would've, Could've, Should've"
Lil Yachty,Oprahâs Bank Account (Lil Yachty & DaBaby feat. Drake)
Anne-Marie,2002
Gesaffelstein,Lost in the Fire
King Princess,1950
21 Savage,Immortal
Miley Cyrus,We Can't Stop
Nicki Minaj,Anaconda
Luis Fonsi,Ãchame La Culpa
Freddie Dredd,Limbo
Adele,When We Were Young
ROSALÃA,DESPECHÃ
Polo G,Bad Man (Smooth Criminal)
The Weeknd,Wasted Times
NewJeans,Ditto
Kid Ink,Promise
Ghost,Mary On A Cross
Nicki Minaj,Feeling Myself
SAYGRACE,You Don't Own Me
Bing Crosby,Winter Wonderland
The Kid LAROI,Thousand Miles
Marshmello,Numb
J. Cole,Motiv8
Daft Punk,Get Lucky
Lil Wayne,Don't Cry
Alesso,Heroes (we could be)
Dominic Fike,3 Nights
JAY-Z,Holy Grail
AJR,World's Smallest Violin
Fall Out Boy,Uma Thurman
Internet Money,His & Hers
Camila Cabello,Crying in the Club
DeJ Loaf,Back Up
Andy Grammer,"Honey, I'm Good."
Chance the Rapper,All Night
Adele,Water Under the Bridge
Drake,Do Not Disturb
Harry Styles,Grapejuice
Anuel AA,Secreto
Drake,Diamonds Dancing
DaBaby,Masterpiece
Armani White,BILLIE EILISH.
J. Cole,Immortal
Maluma,HawÃ¡i
Noah Cyrus,Make Me (Cry)
Elle King,Ex's & Oh's
Kanye West,Champions
SpotemGottem,Beat Box 3
Drake,Canât Take A Joke
YBN Nahmir,Opp Stoppa
5 Seconds of Summer,Easier
Juice WRLD,Hide
Internet Money,Somebody
Sheppard,Geronimo
George Ezra,Budapest
Bad Bunny,Si Veo a Tu MamÃ¡
Roddy Ricch,Tip Toe
A Boogie Wit da Hoodie,Demons and Angels
Selena Gomez,The Heart Wants What It Wants
DJ ESCO,Too Much Sauce
Lil Baby,Hats Off
Mark Ronson,Nothing Breaks Like a Heart
Nardo Wick,Me or Sum
Sleepy Hallow,Die Young
Post Malone,A Thousand Bad Times
Eminem,Mockingbird
Major Lazer,Know No Better
Trippie Redd,Shake It Up
Ariana Grande,fake smile
Polo G,GANG GANG
Peso Pluma,PRC
Bad Bunny,La DifÃ­cil
Bing Crosby,Winter Wonderland
Jonas Brothers,What A Man Gotta Do
Lauv,"fuck, i'm lonely"
Chris Brown,Party
SZA,Seek & Destroy
Lil Uzi Vert,Futsal Shuffle 2020
Drake,Circo Loco
Fetty Wap,RGF Island
Ariana Grande,One Last Time
Moneybagg Yo,Wockesha
DJ Snake,Loco Contigo
Nipsey Hussle,Racks In The Middle
Drake,Elevate
Beach Bunny,Cloud 9
Nicki Minaj,The Night Is Still Young
Sam Hunt,Break Up In A Small Town
Tory Lanez,Freaky
Russ,BEST ON EARTH
Juice WRLD,Reminds Me Of You
Lil Dicky,$ave Dat Money
Cashmere Cat,Trust Nobody
Chris Brown,Questions
Russell Dickerson,Yours
Ricky Montgomery,Line Without a Hook
Flo Rida,"I Don't Like It, I Love It"
Meghan Trainor,Me Too
Lil Pump,Flex Like Ouu
The Weeknd,Sacrifice
6ix9ine,BEBE
Juice WRLD,Stay High
Justin Bieber,The Feeling
Lil Uzi Vert,Seven Million
6ix9ine,KEKE
Kygo,First Time
Lil Baby,Right On
J. Cole,a m a r i
Young Stoner Life,Ski
Jason Derulo,Wiggle
One Direction,Steal My Girl
ACRAZE,Do It To It
Melanie Martinez,Pity Party
Lee Brice,One Of Them Girls
P!nk,What About Us
Nirvana,Something In The Way
MÃ¥neskin,I WANNA BE YOUR SLAVE
Post Malone,Otherside
XXXTENTACION,Carry On
Ashe,Moral of the Story
Rae Sremmurd,Throw Sum Mo
Pharrell Williams,Happy
Drake,Behind Barz
Lil Durk,Still Trappin'
Sam Hunt,House Party
Morgan Wallen,Thinkinâ Bout Me
Offset,Legacy
NAV,Up
Sia,The Greatest
Kygo,Remind Me to Forget
Astrid S,Hurts So Good
Eminem,Venom
Sam Hunt,Take Your Time
Luke Combs,Love You Anyway
Future,Comin Out Strong
Taylor Swift,the last great american dynasty
Ricky Montgomery,Mr Loverman
Amaarae,SAD GIRLZ LUV MONEY Remix
Meek Mill,Litty
Khalid,Outta My Head
Andy Williams,Happy Holiday / The Holiday Season
Fifth Harmony,Down
Demi Lovato,Confident
Imagine Dragons,Bad Liar
Zedd,Happy Now
SZA,Hit Different
NAV,Turks
Ed Sheeran,I See Fire
Lil Tecca,LOT OF ME
YoungBoy Never Broke Again,Self Control
Shakira,Chantaje
Lizzo,Good As Hell
Moneybagg Yo,Time Today
Gym Class Heroes,Cupid's Chokehold / Breakfast in America
Gwen Stefani,You Make It Feel Like Christmas
American Authors,Best Day Of My Life
Olivia Holt,History
Charli XCX,Boom Clap
The Chainsmokers,Setting Fires
Nirvana,Smells Like Teen Spirit
Ed Sheeran,Antisocial
Ariana Grande,Focus
YG,"Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj"
Rita Ora,Your Song
Billie Eilish,Lost Cause
Ariana Grande,Donât Call Me Angel (Charlieâs Angels)
Justin Bieber,Forever
Pentatonix,Hallelujah
MadeinTYO,Ned Flanders
Stephanie Beatriz,Waiting On A Miracle
2 Chainz,Watch Out
Kendrick Lamar,LUST.
Kid Cudi,Tequila Shots
Maty Noyes,in my miNd
DaBaby,Red Light Green Light
Blueface,Daddy
David Guetta,This One's for You
Eminem,Killshot
Taylor Swift,Enchanted
Coldplay,Sparks
Selena Gomez,Look At Her Now
Khalid,The Ways
Drake,Feel No Ways
Sage The Gemini,Now and Later
Taylor Swift,ME!
Billie Eilish,No Time To Die
Bad Bunny,Dakiti
J. Cole,1985
Tove Lo,Stay High
Cardi B,I Do
Halsey,Nightmare
Kendrick Lamar,FEEL.
J. Cole,A Tale of 2 Citiez
Eagles,Please Come Home for Christmas
Kanye West,Ghost Town
The Weeknd,Dark Times
MAX,Love Me Less
Khalid,8TEEN
Oscar Maydon,Fin de Semana
Arctic Monkeys,Why'd You Only Call Me When You're High?
Coldplay,Magic
The Chainsmokers,The One
J. Cole,i n t e r l u d e
5 Seconds of Summer,Teeth
Swedish House Mafia,Moth To A Flame
Ariana Grande,ghostin
Kendrick Lamar,Silent Hill
Gucci Mane,Met Gala
PARTYNEXTDOOR,Break from Toronto
Bad Bunny,Ignorantes
Juice WRLD,Empty
Kygo,Lose Somebody
Lil Tecca,REPEAT IT
Diplo,Be Right There
The Weeknd,Try Me
The Kid LAROI,Love Again
Drake,TSU
Brett Eldredge,"Baby, It's Cold Outside"
French Montana,No Shopping
Frank Ocean,Chanel
The Chainsmokers,Somebody
Juice WRLD,Cigarettes
Gunna,Too Easy
Big Sean,No Favors
Drake,Lemon Pepper Freestyle
Ty Dolla $ign,Saved
John Mayer,New Light
Sam Smith,Money On My Mind
Drake,All Me
Kygo,Born To Be Yours
Kygo,Stargazing
Doja Cat,Say So
$uicideboy$,Antarctica
Fetty Wap,Wake Up
NLE Choppa,Slut Me Out
Jonas Brothers,Like It's Christmas
Cardi B,Drip
Dean Martin,Silver Bells
Future,Crushed Up
Bad Bunny,Sensualidad
Kendrick Lamar,Rich Spirit
Drake,Fire & Desire
Sam Smith,Like I Can
Harry Styles,Keep Driving
The Chainsmokers,Sick Boy
Sam Smith,I'm Not The Only One
Pedro CapÃ³,Calma
Snakehips,Don't Leave
Nat King Cole,Deck The Hall
SZA,Used
Hailee Steinfeld,Rock Bottom
DaBaby,INTRO
Machine Gun Kelly,forget me too
Rae Sremmurd,Guatemala
Post Malone,Blame It On Me
Superstar Pride,PAINTING PICTURES
Taylor Swift,The Great War
Billie Eilish,bad guy
VÃRITÃ,Somebody Else
Drake,Sacrifices
Rosa Linn,SNAP
Ryan Hurd,Chasing After You
J. Cole,Apparently
SZA,Open Arms
Lorde,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA)"
Young Thug,Best Friend
Taylor Swift,The Man
Dawin,Dessert
BLACKPINK,Ice Cream
DNCE,Toothbrush
Rod Wave,Richer
Eminem,Not Alike
Avicii,Waiting For Love
OneRepublic,Rescue Me
Smokepurpp,Nephew
Thomas Rhett,Crash and Burn
Quality Control,Ice Tray
Sebastian Yatra,Dos Oruguitas
Drake,Privileged Rappers
Juice WRLD,Make Believe
A-Wall,Loverboy
Travis Scott,CAN'T SAY
Taylor Swift,Wildest Dreams (Taylor's Version)
Lady Gaga,Stupid Love
Ariana Grande,Santa Baby
Morgan Wallen,Ainât That Some
Carly Rae Jepsen,I Really Like You
Gunna,Baby Birkin
Marian Hill,Down
Roddy Ricch,Peta
Kendrick Lamar,m.A.A.d city
Lizzo,Rumors
Taylor Swift,my tears ricochet
Macklemore,Good Old Days
Yeat,Talk
Juice WRLD,Titanic
Juice WRLD,Bad Energy
Kid Ink,Be Real
Travis Scott,WAKE UP
Selena Gomez,Rare
The Weeknd,Wicked Games
Lil Pump,Boss
benny blanco,Graduation
Madison Beer,Selfish
Taylor Swift,Bigger Than The Whole Sky
Ambjaay,Uno
6ix9ine,TIC TOC
Travis Scott,CAROUSEL
Jason Derulo,Take You Dancing
The Goo Goo Dolls,Iris
Jordan Davis,Singles You Up
PARTYNEXTDOOR,BELIEVE IT
Labrinth,Still Don't Know My Name
Bryce Vine,La La Land
Skrillex,Purple Lamborghini
Jason Derulo,Tip Toe
Juice WRLD,Let Me Know (I Wonder Why Freestyle)
Ali Gatie,What If I Told You That I Love You
KIDS SEE GHOSTS,Reborn
David Guetta,Like I Do
Harry Styles,Love Of My Life
Young Thug,Chanel (Go Get It)
Zara Larsson,Ain't My Fault
Lil Wayne,Let It Fly
Future,I'M ON ONE
Ty Dolla $ign,BlasÃ©
Los Legendarios,Fiel
Tory Lanez,TAlk tO Me
Morgan Wallen,Still Goin Down
Joyner Lucas,Isis
Harry Styles,Cinema
Perry Como,(There's No Place Like) Home for the Holidays
Lil Baby,Commercial
Migos,Kelly Price
G-Eazy,Good Life
Sam Smith,Pray
Migos,Straightenin
Sia,Thunderclouds
JhenÃ© Aiko,B.S.
Post Malone,Goodbyes
Wiz Khalifa,We Dem Boyz
Thomas Rhett,T-Shirt
Juice WRLD,Man Of The Year
Aloe Blacc,The Man
Eminem,Fall
Rihanna,Kiss It Better
Ed Sheeran,Happier
Halsey,Colors
Post Malone,Allergic
Terror Jr,Come First
Miley Cyrus,Slide Away
Lil Durk,What Happened To Virgil
Yandel,Yandel 150
Kanye West,Jail
Drake,In The Bible
OMI,Cheerleader
SZA,Special
Nevada,The Mack
Taylor Swift,Paris
Travis Scott,FRANCHISE
Dr. Dre,Still D.R.E.
Hailee Steinfeld,Capital Letters
DripReport,Skechers
Drake,Get It Together
Nio Garcia,AM Remix
Daddy Yankee,Dura
Harry Styles,Daydreaming
Drake,Broke Boys
